id,name,city_name,latitude,longitude
00b009f2-d013-56b6-b50e-06fdfa78bb52,"Hai Ả - Homestay, Cafe & Bakery",Lâm Đồng,11.94654,108.48974
00b159e5-9a9e-5e11-9854-92196833783e,Bảo tàng Chiến thắng B-52,Hà Nội,21.035024,105.826167
00b2d1f3-6fa5-5a87-bf88-df7ea79f2922,Fun Island Nha Trang,Khánh Hòa,12.272523,109.203593
00b3de6f-7d7f-5131-a3e1-5dd8402c976d,Cháo 37 - Hào Nam,Hà Nội,21.023576,105.826945
00b5735e-e111-5989-adc3-2a1a26c8c665,Hello Vietnam Coffee & Cake,Vũng Tàu,10.363767,107.080145
00b5a0c8-8c1e-5ea4-8844-332d513f6035,Chang Coffee & Homestay Kon Tum,Kon Tum,14.356749,108.013064
00b5cc02-a831-50d8-86b9-9e1980c81975,Cơm Việt Nam Bắc Thành,Thanh Hóa,19.810433,105.776575
00b6e666-533c-5f88-9879-7cb1dde75117,Nàng Thơ Massage,Long An,10.545936,106.399535
00b701ae-6ebc-5b3d-8350-568a8ed46259,Chè Thái Huy Trần,Nam Định,20.431536,106.172921
00b7ac8c-79a5-5783-a6e0-21409f0d254d,Bến Sông Trăng Cafe,Kon Tum,14.345447,108.000728
