0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.032235093,0.035912685,-0.11203525,0.121361025,-0.046988267,-0.06993348,0.14870869,-0.06328739,-0.05949108,-0.0767122,-0.07658958,0.17361748,-0.1758544,-0.21126899,-0.11039539,-0.09466006
-0.062973395,0.021052843,0.03948898,-0.062025145,0.033274192,-0.05174907,0.029141245,0.06178765,-0.0859237,-0.033489674,0.011649314,-0.026193427,-0.058133133,0.10574,-0.09783494,-0.017755318
-0.09380983,0.0054360973,-0.020352412,-0.116850615,0.03852974,-0.020685812,-0.15078618,0.1038355,0.0784371,-0.036877215,0.044157833,0.12529574,0.07701811,0.05484483,-0.074100584,-0.0010776807
0.06658184,-0.035019483,0.053322595,0.13573627,-0.0022805226,0.082761966,0.06201429,-0.11068185,0.037385803,0.12836352,0.19627161,0.08108403,0.16338523,0.035669833,-0.11121396,0.12991908
-0.009236904,-0.046082877,0.004506596,-0.02592944,-0.074571595,0.071096,0.05042309,0.2188596,0.04235486,0.055158794,0.047363833,0.06001055,0.1591716,0.033162914,-0.011948246,-0.008960303
-0.023246085,0.04931141,0.027070612,0.074804544,0.10196722,0.033778686,0.096466206,-0.08769261,0.011769851,-0.063258,0.027482394,-0.11723143,-0.025655527,-0.03933567,-0.07518326,-0.06892786
-0.009276734,0.039832793,0.062339664,0.048910018,-0.01693452,-0.16783509,-0.0029910486,0.044812456,-0.063036226,-0.017695533,-0.16000344,0.20835352,0.018956047,0.109707996,0.017163109,-0.047770064
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.04457641,0.16654567,0.04709723,0.09094136,0.05433689,0.07122571,0.11258608,0.2192467,0.14416963,0.059096027,-0.041872006,-0.12022657,0.12784292,0.054989744,-0.092213884,0.064671986
-0.07114969,-0.23754853,-0.1503734,0.07309805,0.12800758,-0.0867715,0.10293569,-0.07957742,-0.017770993,0.12889902,0.06479109,-0.12995054,-0.030822007,0.011109327,0.02530525,-0.024366695
0.006394081,-0.17637415,-0.10067,0.01623932,-0.32687756,0.16989408,-0.1469663,-0.0027865032,-0.063608505,0.07199663,-0.07985088,0.023263078,0.10325393,-0.12855284,0.017044518,0.04268158
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.079559214,-0.053589918,0.043135695,-0.005371179,-0.0053903027,0.022564067,-0.15228942,0.07888774,-0.10975868,-0.09685994,0.09915503,0.082551114,-0.013232031,-1.2272645e-05,0.14515784,-0.0024994712
0.030137142,0.07522598,0.12668258,0.019661205,-0.12423623,0.0316237,-0.104396574,-0.0077110543,-0.012836815,0.15591948,0.016315045,-0.13855958,-0.055287305,0.13874319,0.08207446,-0.12885393
0.05157564,0.10112235,0.19363362,0.05401916,-0.035809144,-0.06521666,0.06725827,0.0685025,-0.0051885364,-0.04536685,0.03626831,0.25920197,0.13993935,0.062497824,0.046863914,0.19983321
-0.030348683,0.13164835,0.15716496,0.24455178,-0.106388174,0.03204291,-0.004070965,0.12156163,0.013329431,0.08829527,0.044538446,0.07602373,0.030701578,0.08794406,0.06521551,0.16141412
0.018389221,-0.09406739,-0.050607715,0.03515772,-0.051225346,-0.06747298,-0.20950258,-0.06471869,0.0057218787,-0.023183865,-0.065730006,-0.1535509,-0.06515476,0.042397253,-0.024795787,0.004982683
0.1395967,-0.0521522,-0.052966338,-0.021347636,0.14438385,0.02237176,0.017635386,0.11968288,0.024409136,-0.0012499769,-0.06400871,0.083401546,-0.08282379,-0.0080649,0.13919014,-0.011526437
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.059717227,-0.0046074535,0.09146823,-0.13932979,-0.044568002,-0.10918366,-0.060215287,-0.047532354,-0.18456374,0.009401779,0.010721044,-0.15060179,0.07768899,-0.08442204,0.04340836,5.041681e-05
0.031771183,0.04746933,0.15744893,0.16362426,0.014991131,-0.11837937,-0.066164896,-0.01252675,0.30660644,0.072336785,-0.056725092,-0.02543278,0.14760858,-0.10564002,0.11303833,-0.02691686
-0.0050923047,-0.07621772,-0.029217757,0.1332938,-0.095104046,-0.033818655,-0.13511364,-0.014358197,0.07124398,-0.09580985,0.10462597,-0.17977947,0.16876373,-0.086413525,-0.056927692,-0.13251585
0.17468387,0.022359611,0.0772386,0.19588794,-0.09167853,-0.16325991,-0.06778858,0.012277022,0.09070188,0.039251804,0.031220205,-0.049299598,-0.3197313,-0.17073105,-0.038761593,0.0318221
-0.15294169,0.07025525,0.11633985,0.052631456,-0.054873105,-0.06926414,-0.002578589,-0.12582545,-0.12349038,-0.21655983,0.025874356,0.05617344,-0.09362339,-0.20627768,-0.05245522,0.0012820524
-0.011317231,-0.034176413,-0.026513068,-0.06610376,0.16053504,0.03192869,0.0014497435,-0.04292588,0.057587456,0.13237096,-0.105416566,-0.018850626,0.12033362,-0.0064266063,-0.116036,0.106238306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03072418,-0.004388786,0.027352402,-0.041024476,0.0036332882,0.06038743,-0.0051695453,-0.01700373,0.0056844316,-0.032639608,-0.0832517,-0.029763883,0.014732602,-0.06012393,0.052750923,0.08209807
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.039821506,-0.007816643,0.08822986,0.0853251,0.089914285,0.051852334,0.17673805,-0.17101249,-0.056662988,-0.15216677,0.03732863,-0.16292506,-0.018661326,0.12864512,0.029475156,-0.027128808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040784314,0.12929691,0.0058283424,-0.25466323,0.13568603,0.089822255,0.08288609,0.11538489,-0.07920637,-0.10073699,0.06710114,-0.030508881,0.017543836,0.0049765245,-0.04048556,0.055943508
0.039005518,0.1500164,-0.006887804,0.05861897,0.056934323,0.07056895,-0.055730075,-0.12378364,0.05385591,-0.19851264,0.09405955,-0.063393824,0.12577932,-0.110531166,0.027627816,0.08721579
-0.0019187401,0.033660784,0.0076284586,0.1108161,-0.12916504,0.17639801,-0.24447688,0.03438962,0.03216087,-0.265304,-0.047519423,0.03613394,0.075556695,-0.019573433,0.018686425,0.041128784
-0.005711094,-0.03511645,0.050244574,0.12716155,-0.040104724,-0.015498872,-0.06674135,-0.037710913,0.017372452,-0.04325812,0.0681803,0.074049465,0.06518655,-0.076373935,0.11357976,0.07497407
0.094120495,0.030067423,-0.15720193,-0.101030245,0.044218462,0.14260744,-0.008215725,-0.049818553,0.002576283,0.020499637,-0.05804486,-0.05059919,-0.0069009806,0.06857987,0.07558324,-0.10861137
0.014704252,0.14065297,-0.041133475,0.30334613,-0.029949088,-0.008431878,-0.0026006035,-0.13062818,0.07319024,-0.060335875,0.04410993,-0.004098954,-0.03189172,0.025796322,-0.11690134,0.04087936
0.03427745,-0.11575372,0.044322792,0.050709207,-0.124799155,-0.040170755,0.043870997,-0.17713983,-0.036557265,-0.11144879,0.14376907,0.013954321,-0.07343262,-0.034751374,0.1336933,0.18470813
0.17268394,0.0358473,-0.004782092,0.07689878,-0.061351795,-0.03797311,0.03792046,-0.007233915,-0.20313805,0.06938142,-0.20406266,-0.12754019,-0.044144686,0.039421454,0.036621757,0.034360304
-0.02420942,0.08889727,-0.03572162,0.15626809,-0.009638134,0.08083076,0.13273868,0.026383681,-0.06611886,0.13743578,0.03582631,0.18571664,-0.05251065,0.035768103,0.11347102,-0.07439062
-0.10701143,0.07944795,-0.07202531,0.012120884,0.06562399,-0.012260193,-0.03337748,-0.16161162,-0.024829386,0.0054500736,0.13527867,-0.0752801,-0.017303944,0.046202023,-0.022735193,0.066268854
0.068898775,0.1387488,0.048010573,0.1467555,-0.1593624,-0.03364134,-0.10701056,-0.08205615,0.029288545,0.04741094,-0.06975057,-0.16744871,-0.12655585,0.055321306,0.021728624,-0.07875931
0.1188711,-0.16024949,-0.050448034,0.031938303,-0.07492516,0.004788761,0.07464996,0.07851253,-0.032434396,0.10959892,0.043535758,-0.1656244,0.030064475,0.03489693,-0.018093415,-0.1576481
-0.1439803,0.16547011,-0.06354826,-0.09935049,-0.16111721,0.02983652,-0.13276403,0.088110484,0.018411273,0.19289558,-0.10891306,0.15252377,0.13511167,0.0056760167,0.04696587,-0.078784235
-0.09900881,-0.046220895,-0.018566465,0.076113686,-0.005902154,0.00131127,-0.05696252,0.03528,-0.09826111,-0.0844472,0.16040765,-0.14717717,0.026801389,-0.22846308,0.0756043,-0.13732018
-0.024486145,-0.0022259941,-0.14382406,-0.05942575,-0.08834878,0.077170216,0.03522126,0.04756727,-0.0970633,-0.029896181,0.057582997,-0.17637491,0.20018631,-0.07762175,-0.038088452,0.024406798
0.09397291,-0.037245706,0.08386226,-0.06494684,-0.0018612421,-0.15865071,-0.03349589,0.13095967,-0.011138876,0.026388226,0.08081077,-0.047550064,-0.11885892,0.02844364,-0.05053283,-0.03859624
-0.054665968,0.08860341,0.15544586,-0.060169723,-0.09387417,-0.084344044,-0.060060553,0.33771077,-0.026837666,0.058744777,0.18725967,0.08630906,-0.117082275,-0.037064698,-0.003659163,-0.07582832
0.012726581,-0.026137402,-0.048253298,-0.12374908,0.034979455,-0.033867132,0.11700584,-0.05570161,-0.058268934,0.0063305935,0.0141000245,-0.006225664,-0.059224106,0.07285866,-0.20105967,0.21510828
